title,authors,rating,year,month,day
Maps for Lost Lovers,Nadeem Aslam,3.78,2006,5,9
Maps in a Mirror: The Short Fiction of Orson Scott Card,Orson Scott Card,4.01,2004,1,1
Marabou Stork Nightmares,Irvine Welsh,3.86,1997,1,17
Marcel Proust: A Life,William C. Carter,4.33,2002,2,8
Marcel Proust: On Art and Literature 1896-1919,Marcel Proust/Sylvia Townsend Warner,4.06,1997,8,5
March,Geraldine Brooks,3.75,2006,1,31
March Upcountry (Empire of Man  #1),David Weber/John Ringo,4.18,2002,5,1
Marching Powder,Rusty Young,4.26,2004,7,1
Marching Powder: A True Story of Friendship  Cocaine  and South America's Strangest Jail,Rusty Young/Thomas McFadden,4.26,2004,5,1
Marcovaldo,Italo Calvino/William Weaver,3.89,1983,11,16
Margaret Atwood's Power: Mirrors  Reflections and Images in Select Fiction and Poetry,Shannon Hengen,3.43,1993,10,6
Margaret Atwood: The Handmaid's Tale,Hélène Greven-Borde,4.27,1998,11,1
Margherita Dolce Vita,Stefano Benni/Antony Shugaar,3.71,2006,11,1
Margot Fonteyn,Meredith Daneman,4.03,2005,8,4
Marie  Dancing,Carolyn Meyer,3.76,2005,10,1
Marie Antoinette: The Journey,Antonia Fraser,3.93,2006,9,12
Marie Antoinette: The Journey,Antonia Fraser,3.93,2002,11,12
Mariel Hemingway's Healthy Living from the Inside Out: Every Woman's Guide to Real Beauty  Renewed Energy  and a Radiant Life,Mariel Hemingway,3.89,2006,12,26
Marijuana Horticulture: The Indoor/Outdoor Medical Grower's Bible,Jorge Cervantes,4.39,2006,3,1
Marilyn Manson,Kurt Reighley,3.36,1998,4,15
Marilyn Manson: The Lonely Watchman,Richard D. Nelson,4.0,2006,2,18
Marilyn Monroe: The Biography,Donald Spoto,4.03,2001,7,17
Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse/Larry B. Crowder/Michael E. Soulé,4.59,2005,5,9
Marine: A Guided Tour of a Marine Expeditionary Unit (Guided Tour),Tom Clancy,3.83,1996,11,1
Marjorie Morningstar,Herman Wouk,3.98,1992,6,15
Mark Rothko,Diane Waldman/Bernard Malamud,4.04,1978,9,1
Mark Rothko  1903 1970,Diane Waldman,4.04,2001,5,14
Mark Twain's Adventures of Huckleberry Finn,Mark Twain/Richard P. Wasowski,3.82,2001,5,1
Mark Twain's Helpful Hints for Good Living: A Handbook for the Damned Human Race,Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank,3.86,2004,10,18
Mark Twain's Own Autobiography: The Chapters from the North American Review,Mark Twain/Michael J. Kiskis,3.8,1990,10,1
Mark Twain: Selected Works,Mark Twain,4.22,1990,10,2
Marked (House of Night  #1),P.C. Cast/Kristin Cast,3.8,2007,5,1
Market Forces,Richard K. Morgan,3.59,2005,3,1
Marketing Warfare,Al Ries/Jack Trout,4.11,2005,12,13
Marley & Me: Life and Love with the World's Worst Dog,John Grogan,4.13,2006,10,31
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,2005,10,18
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,1998,10,21
Marsha Is Only a Flower (Marsha  #2),Barbara Bottner,3.82,2000,4,1
Martian Time-Slip,Philip K. Dick,3.77,1999,7,8
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,3.83,1999,11,25
Martin and Malcolm and America: A Dream or a Nightmare?,James H. Cone,4.37,1992,9,1
Marvel 1602,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein,3.94,2006,8,2
Marvels,Kurt Busiek/Alex Ross,4.22,2007,1,10
Marvels,Kurt Busiek/Alex Ross,4.22,2004,1,1
Marx's Concept of Man,Erich Fromm/T.B. Bottomore,4.02,2004,12,9
Marxism and Literary Criticism,Terry Eagleton,3.89,2002,6,13
Mary  Queen of Scots: Pride  Passion and a Kingdom Lost,Jenny Wormald,3.72,2001,5,4
Mary  Queen of Scots: Queen Without a Country,Kathryn Lasky,3.83,2002,5,1
Mary Engelbreit's Home Companion,Charlotte Lyons/Mary Engelbreit/Barbara E. Martin,4.12,1994,8,1
Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,Mary Engelbreit/Leonard S. Marcus,4.37,2005,9,20
Mary Queen of Scotland and The Isles,Margaret George,4.05,1997,4,15
Mary Queen of Scots,Antonia Fraser,4.05,1993,9,1
Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,4.04,2004,2,5
Mary Shelley: Her Life  Her Fiction  Her Monsters,Anne K. Mellor,3.9,1989,12,15
Mary Shelley‘s Frankenstein,Mary Wollstonecraft Shelley/Anca Munteanu,3.79,2001,4,15
Mary Stewart's Merlin Trilogy (Arthurian Saga  #1-3),Mary  Stewart,4.39,2004,9,7
Masculinity and Male Codes of Honor in Modern France,Robert A. Nye,4.36,1998,11,30
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,2004,1,3
Master Index: An Illustrated Guide,Time-Life Books,3.56,1993,9,1
Master and Commander (Aubrey/Maturin   #1),Patrick O'Brian,4.1,2003,10,17
Master and Commander (Aubrey/Maturin Book 1),Patrick O'Brian,4.1,2004,3,9
Master of Dragons (Mageverse #5),Angela Knight,4.22,2007,6,5
Master of Swords (Mageverse #4),Angela Knight,4.2,2006,10,3
Master of Wolves (Mageverse  #3),Angela Knight,4.17,2006,4,4
Master of the Moon (Mageverse #2),Angela Knight,4.14,2005,5,3
Master of the Night (Mageverse #1),Angela Knight,3.88,2004,10,5
Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card/Isaac Asimov/William Gibson/Michael Swanwick/Theodore Sturgeon/Larry Niven/Robert Silverberg/Harry Turtledove/James Blish/George R.R. Martin/James Patrick Kelly/Karen Joy Fowler/Arthur C. Clarke/Lloyd Biggle Jr./Terry Bisson/Poul Anderson/John Kessel/R.A. Lafferty/C.J. Cherryh/Lisa Goldstein/Edmond Hamilton/Robert A. Heinlein/Ursula K. Le Guin/Ray Bradbury/Frederik Pohl/Harlan Ellison/George Alec Effinger/Brian W. Aldiss,4.21,2004,3,2
Masters of Death: The SS-Einsatzgruppen and the Invention of the Holocaust,Richard Rhodes,4.05,2003,12,18
Masters of Enterprise: Giants of American Business from John Jacob Astor and J.P. Morgan to Bill Gates and Oprah Winfrey,H.W. Brands,4.0,1999,6,7
Masters of Small Worlds: Yeoman Households  Gender Relations  and the Political Culture of the Antebellum South Carolina Low Country,Stephanie McCurry,3.69,1997,11,1
Math Fables,Greg Tang/Heather Cahoon,4.03,1949,1,1
Matilda,Roald Dahl/Rula Lenska/Sian Thomas/Christopher Timothy,4.31,2005,3,3
Matilda,Roald Dahl/Quentin Blake,4.31,1998,6,1
Matilda,Roald Dahl/Joely Richardson,4.31,2004,1,20
Matilda Bone,Karen Cushman/Trina Schart Hyman,3.74,2002,3,12
Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,4.15,2006,9,5
Matters of Choice (Cole Family Trilogy  #3),Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,3.39,1997,5,1
Matthew Flinders' Cat,Bryce Courtenay,3.8,2002,12,31
Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,4.29,2002,12,31
Maurice,E.M. Forster,4.03,2005,12,17
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks/Raymond Jafelice,2.75,2004,4,5
Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),Art Spiegelman,4.34,1991,11,1
Maverick: The Success Story Behind the World's Most Unusual Workplace,Ricardo Semler,4.17,2001,9,6
Maxims and Reflections,Johann Wolfgang von Goethe/Peter Hutchinson/Elisabeth Stopp,3.82,1999,3,1
Maximum City: Bombay Lost and Found,Suketu Mehta,3.93,2005,9,27
Maya,Jostein Gaarder/James Anderson,3.6,2011,5,10
Maya Cosmogenesis 2012: The True Meaning of the Maya Calendar End-Date,John Major Jenkins/Terence McKenna,3.71,1998,8,1
Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein,Jean Sasson,4.0,2004,9,7
Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2),Ron Roy/John Steven Gurney,4.19,2007,8,28
Mayflower: A Story of Courage  Community  and War,Nathaniel Philbrick,3.87,2006,5,9
McCarthy's Bar: A Journey of Discovery in Ireland,Pete McCarthy,3.8,2003,3,3
McCoy: The Provenance Of Shadows (Star Trek: Crucible  #1),David R. George III,4.14,2006,8,29
McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,McDougal Littell/Douglas W. Carnine,2.0,2005,4,12
McElligot's Pool,Dr. Seuss,4.06,1947,9,12
McGraw-Hill's SAT I (McGraw-Hill's SAT I),Christopher   Black/Mark Anestis,3.67,2005,10,1
McNally's Alibi (Archy McNally Novels),Vincent Lardo/Lawrence Sanders,3.9,2003,8,5
McNally's Caper (Archy McNally  #4),Lawrence Sanders,3.9,1995,1,1
McNally's Puzzle (Archy McNally  #6),Lawrence Sanders,3.85,1997,2,1
McSweeney's #11,Dave Eggers/A.G. Pasquella/Brent Hoff/Stephen Elliott/Daphne Beal/Denis Johnson/Tom Bissell/Sean Warren/Samantha Hunt/Robert Olmstead/T. Coraghessan Boyle/David Means/Doug Dorst/Joyce Carol Oates/McSweeney's Publishing,3.94,2003,7,1
McSweeney's #12,Dave Eggers/Roddy Doyle/McSweeney's Publishing,3.87,2003,12,1
McSweeney's #14,Dave Eggers,3.73,2004,9,27
McSweeney's #18,Dave Eggers,3.72,2005,12,8
McSweeney's #19,Dave Eggers/T. Coraghessan Boyle/Adam Golaski/Sean Casey/Brendan Connell,3.8,2006,4,10
McSweeney's #24,Dave Eggers/Christopher R. Howard/Jonathan Ames/Joe Meno/Eric Hanson,3.8,2007,5,28
Me Alquilo Para Soñar (Taller de Guión  #62),Gabriel García Márquez,3.83,2004,3,2
Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,Elizabeth L. Fuller,3.73,1992,5,1
Me llamo rojo,Orhan Pamuk/Rafael Carpintero,3.85,2007,1,1
Me vs. Me,Sarah Mlynowski,3.67,2006,7,25
Measle and the Dragodon,Ian Ogilvy,3.97,2006,9,1
Measure for Measure,William Shakespeare,3.68,2005,10,27
Medal of Honor: Rising Sun (Prima's Official Strategy Guide),Mark Cohen,3.67,2003,11,18
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,3.87,2006,8,10
Medea,Euripides/Donald J. Mastronarde,3.87,2002,9,16
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,4.03,2003,3,27
Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,4.02,2002,9,3
Media Unlimited: How the Torrent of Images & Sounds Overwhelms Our Lives,Todd Gitlin,3.55,2003,1,6
Medicus (Gaius Petreius Ruso  #1),Ruth Downie,3.73,2007,3,6
Meditations,Marcus Aurelius/Martin Hammond/Albert Wittstock/Diskin Clay,4.23,2006,4,27
Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire,Wayne W. Dyer,4.02,1995,6,1
Meditations on First Philosophy,René Descartes/Donald A. Cress,3.71,1993,10,1
Mediterranean Winter: The Pleasures of History & Landscape in Tunisia  Sicily  Dalmatia & Greece,Robert D. Kaplan,3.92,2004,2,3
Mediterranean Winter: The Pleasures of History and Landscape in Tunisia  Sicily  Dalmatia and the Peloponnese,Robert D. Kaplan,3.92,2005,3,8
Meet Mr. Mulliner,P.G. Wodehouse,4.06,2002,5,13
Meeting God at Every Turn,Catherine Marshall,4.36,2002,9,1
Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,Marcus J. Borg,4.12,2015,4,7
Mein Urgroßvater  die Helden und ich,James Krüss,4.3,2002,12,1
Melliandra,J.V. Jones,3.79,2001,3,1
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,1993,7,1
Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),Edward F. Edinger,3.93,2004,4,30
Melville: His World and Work,Andrew Delbanco,4.04,2006,9,12
Memoirs of Hadrian,Marguerite Yourcenar/Grace Frick,4.25,2005,5,18
Memoirs of a Geisha,Arthur Golden,4.11,1998,6,4
Memoirs of a Geisha,Arthur Golden,4.11,2005,11,15
Memoirs of a Geisha,Arthur Golden,4.11,2005,11,22
Memoirs of a Geisha,Arthur Golden,4.11,2005,12,1
Memoirs of a Geisha,Arthur Golden,4.11,2000,10,5
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,2005,10,20
Memoirs of the Second World War,Winston S. Churchill/Denis Kelly,4.39,1991,9,17
Memoranda,Jeffrey Ford/Jacques Guiod,3.9,2002,12,10
Memoria de mis putas tristes,Gabriel García Márquez,3.6,2004,10,19
Memory's Embrace (Corbins  #3),Linda Lael Miller,4.19,1991,6,1
Men  Martians and Machines,Eric Frank Russell/George Zebrowski/Isaac Asimov,3.77,1984,2,1
Men Are Like Waffles  Women Are Like Spaghetti,Bill Farrel/Pam Farrel,3.88,2001,1,1
Men Are from Mars  Women Are from Venus,John Gray,3.55,2012,4,3
Men Are from Mars  Women Are from Venus,John Gray,3.55,2007,4,3
Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,4.09,2002,1,2
Men's Health: Book of Muscle - The World's Most Complete Guide to Building Your Body,Ian King/Lou Schuler/Frederick Deluvier,3.98,2003,10,17
Menace Invisible (Admiral Arnold Morgan  #3),Patrick Robinson,4.01,2000,3,1
Mercy,Jodi Picoult,3.58,2001,4,1
Mercy Watson Goes for a Ride,Kate DiCamillo/Chris Van Dusen,4.15,2006,5,9
Mercy Watson to the Rescue,Kate DiCamillo/Chris Van Dusen,4.05,2005,8,23
Mercy Watson: Princess in Disguise,Kate DiCamillo/Chris Van Dusen,4.16,2007,7,10
Merde Encore!: More of the Real French You Were Never Taught at School,Geneviève/Michael    Heath,3.96,1998,12,9
Merde!: The Real French You Were Never Taught at School,Geneviève/Michael    Heath,3.96,1998,12,9
Mere Christianity,C.S. Lewis/Kathleen Norris,4.32,2015,4,21
Mere Christianity,C.S. Lewis,4.32,1996,6,1
Mere Christianity: Abolition of Man (Bonus Feature),C.S. Lewis/Geoffrey Howard/Robert Whitefield/Robert Whitfield,4.32,2006,5,1
Meridon (The Wideacre Trilogy  #3),Philippa Gregory,3.68,2003,7,2
Merlin's Tour of the Universe,Neil deGrasse Tyson,4.02,1997,7,14
Mermaid Saga  Vol. 2,Rumiko Takahashi,4.05,2004,9,21
Merrick (Crónicas Vampíricas  #7),Anne Rice,3.73,2002,11,1
Merrick (The Vampire Chronicles #7),Anne Rice,3.73,2001,10,2
Merry Christmas  Amelia Bedelia,Peggy Parish/Lynn Sweat,4.29,2002,10,1
Merry Christmas  Stinky Face,Lisa McCourt/Cyd Moore,3.97,2004,10,1
Message in a Bottle,Nicholas Sparks,3.96,1999,12,1
Message in a Bottle,Nicholas Sparks,3.96,1999,2,1
Messenger (The Giver  #3),Lois Lowry,3.91,2006,8,22
Metaconcert (Intervention  #2),Julian May,4.21,1989,1,13
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,4.05,2003,11,17
Metamorphoses,Ovid/David Raeburn/Denis Feeney,4.05,2004,8,3
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,4.52,1985,1,1
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,4.42,1977,1,1
Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,3.72,1990,3,1
Metro Girl (Alex Barnaby  #1),Janet Evanovich,3.62,2005,9,27
Metro Girl (Alex Barnaby  #1),Janet Evanovich/C.J. Critt,3.62,2006,7,25
Mi vida en rose,David Sedaris,3.99,2004,11,15
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,2004,8,10
Micah (Anita Blake  Vampire Hunter  #13),Laurell K. Hamilton,3.63,2006,3,1
Michael Moorcock's Multiverse,Michael Moorcock/Walter Simonson/Mark Reeve/John Ridgway,3.94,1999,11,1
Michael Moore's Fahrenheit 9/11: How One Film Divided a Nation,Robert Brent Toplin,3.44,2006,4,20
Michael Powell: Interviews,David Lazar,3.95,2003,3,3
Michael Smith Elements of Style,Michael S.  Smith/Diane Dorrans Saeks,4.17,2005,11,22
Michael Tolliver Lives (Tales of the City  #7),Armistead Maupin,3.93,2007,6,12
Michael's Golden Rules,Deloris Jordan/Roslyn M. Jordan/Michael Jordan/Kadir Nelson,3.93,2007,1,23
Micro Eco-Farming: Prospering from Backyard to Small Acreage in Partnership with the Earth,Barbara Berst Adams,3.76,2005,5,1
Microserfs,Douglas Coupland,3.88,2008,1,1
Mid-Flinx (Pip & Flinx #7),Alan Dean Foster,3.94,1996,9,1
Midaq Alley,Naguib Mahfouz/Trevor Le Gassick,3.85,1991,12,1
Middle Age: A Romance,Joyce Carol Oates,3.58,2002,10,1
Middlemarch,George Eliot/Megan McDaniel/Lynne Sharon Schwartz/Lynn Sharon Schwartz,3.96,2003,4,1
Middlemarch,George Eliot/Harriet Walter,3.96,2003,1,28
Middlemarch: An Authoritative Text  Backgrounds  Reviews and Criticism,George Eliot/Bert G. Hornback,3.96,1977,9,1
Middlesex,Jeffrey Eugenides,4.0,2003,9,16
Middlesex,Jeffrey Eugenides,4.0,2002,9,4
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5.0,2003,3,17
Midnight Brunch (Casa Dracula  #2),Marta Acosta,3.8,2007,4,24
Midnight Is a Place,Joan Aiken,3.92,2002,10,28
Midnight Jewels,Jayne Ann Krentz,3.75,2003,7,1
Midnight Predator,Amelia Atwater-Rhodes,4.02,2003,12,9
Midnight Riders: The Story of the Allman Brothers Band,Scott  Freeman,3.97,1996,7,1
Midnight Voices,John Saul/Joe Blades,3.75,2003,3,4
Midnight for Charlie Bone (The Children of the Red King  #1),Jenny Nimmo,3.82,2003,3,1
Midnight in the Garden of Good and Evil,John Berendt,3.92,2005,9,27
Midnight's Children,Salman Rushdie,3.98,1982,4,8
Midnight's Children,Salman Rushdie,3.98,1995,5,1
Mighty Love,Howard Chaykin,3.12,2005,2,1
Mike Nelson's Death Rat!,Michael J. Nelson,3.66,2003,4,15
Mila 18,Leon Uris,4.29,1983,11,1
Millie's Fling,Jill Mansell,3.75,2001,8,16
Milton's Paradise Lost,John Milton/Gustave Doré,3.82,2008,8,14
Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,John W. Schott/Jean S. Arbeiter,2.67,1998,1,1
Mindfulness for Beginners,Jon Kabat-Zinn,3.82,2006,7,1
Mindstar Rising (Greg Mandel  #1),Peter F. Hamilton,3.92,1997,5,15
Mine,Robert R. McCammon,3.9,1991,5,1
Mine  All Mine!: A Book About Pronouns,Ruth Heller,4.09,1999,10,1
Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,2002,9,9
Minion (Vampire Huntress  #1),L.A. Banks,3.44,2004,5,4
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,4.57,1963,6,28
Minuit dans le jardin du bien et du mal,John Berendt,3.92,1998,6,6
Miracle Fair: Selected Poems,Wisława Szymborska/Joanna Trzeciak/Czesław Miłosz,4.42,2002,11,17
Miracle and Other Christmas Stories,Connie Willis,3.9,2000,10,31
Miracle at St. Anna,James   McBride,3.74,2003,1,7
Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,3.68,1999,5,5
Miracleman  Book Three: Olympus,Alan Moore/John Totleben/Steve Oliff/Joe Caramagna/Michael Kelleher/Peter Milligan/Mike Allred,4.39,2015,4,21
Mirror Mirror,Gregory Maguire,3.28,2004,10,1
Mirror in the Mirror,Michael Ende/J. Maxwell Brownjohn,4.14,1986,6,5
Mischief (Harrow House  #2),Douglas Clegg,3.49,2000,9,1
Misery,Stephen King/María Mir,4.16,2002,3,26
Misery,Stephen King,4.16,1988,11,1
Miskatonic University: Dire Secrets & Campus Life (Call of Cthulhu RPG),Sam Johnson/Sandy Antunes,4.12,2005,10,12
Miss Happiness and Miss Flower,Rumer Godden/Gary Blythe,4.27,2006,9,1
Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),Agatha Christie,4.32,1997,7,10
Miss or Mrs?/ The Haunted Hotel/ The Guilty River,Wilkie Collins/Norman Page/Toru Sasaki,3.79,1999,5,13
Missing Mom,Joyce Carol Oates,3.55,2006,8,22
Missing Persons and Mistaken Identities: Women and Gender in Ancient Israel,Phyllis A. Bird,3.8,1997,1,1
Missing You (1-800-Where-R-You  #5),Meg Cabot,4.17,2006,12,26
Mission Possible,Kenneth H. Blanchard,3.44,1999,4,30
Mission of Honor (Tom Clancy's Op-Center  #9),Jeff Rovin/Tom Clancy/Steve Pieczenik,3.91,2002,6,4
Mission: Where's June? (Disney's Little Einstein),Susan Ring/Kirk Albert Etienne/Kirk Etienne Albert/Michael James Luzzi,4.5,2006,4,5
Mistaken Identity,Nayantara Sahgal,2.98,2016,12,30
Mistletoe,Hailey Abbott/Melissa de la Cruz/Aimee Friedman/Nina Malkin,3.41,2006,10,1
Mistral's Kiss (Merry Gentry  #5),Laurell K. Hamilton,4.04,2006,12,12
Mistress Masham's Repose,T.H. White/Fritz Eichenberg,3.93,2012,3,7
Mistress of Magic (The Mists of Avalon  #1),Marion Zimmer Bradley/Davina Porter,4.12,1993,4,1
Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,3.64,1977,12,12
Misty of Chincoteague (Misty  #1),Marguerite Henry/Wesley Dennis,4.05,2006,12,26
Mitla Pass,Leon Uris,3.84,1989,10,1
Mitz The Marmoset of Bloomsbury,Sigrid Nunez,3.92,2007,2,15
Mixed Doubles,Jill Mansell,3.71,1998,7,2
Moby Dick,Herman Melville,3.5,1994,1,1
Moby Dick,Herman Melville/William Hootkins,3.5,2005,9,1
Moby Dick,Herman Melville/William Hootkins,3.5,2005,6,16
Moby Dick  or The Whale,Herman Melville/Harrison Hayford/Hershel Parker,3.5,2001,9,19
Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,1997,4,3
Moby Dick: or The White Whale (Oxford Illustrated Classics),Geraldine McCaughrean/Victor G. Ambrus/Herman Melville,3.82,1998,4,16
Moby-Dick,Herman Melville/Nathaniel Philbrick,3.5,2001,9,1
Moby-Dick,Herman Melville/Carl F. Hovde,3.5,2003,4,1
Moby-Dick,Jan Needle/Patrick Benson/Herman Melville,3.71,2006,9,12
Moby-Dick; or  The Whale,Herman Melville/Rockwell Kent/Elizabeth Hardwick,3.5,2000,10,10
Mockingbird Wish Me Luck,Charles Bukowski,4.13,2002,5,31
Moderato cantabile,Marguerite Duras,3.51,1985,1,1
Modern Classics of Science Fiction,Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny,4.17,1993,1,15
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,2004,10,7
Modern Reader's Guide to Dante's the Divine Comedy,Joseph Gallagher,4.49,1999,5,10
Moksha: Writings on Psychedelics & the Visionary Experience,Aldous Huxley/Michael Horowitz/Cynthia Palmer,4.19,1999,4,1
Moll Flanders,Daniel Defoe/Mark Schorer/Georgina Sutton,3.52,1993,10,5
Moll Flanders,Daniel Defoe/Virginia Woolf,3.52,2002,6,11
Molloy  Malone Dies  The Unnamable (The Trilogy  #1-3),Samuel Beckett,4.28,1997,9,16
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,2003,6,10
Moloka'i (Moloka'i #1),Alan Brennert,4.17,2004,10,4
Moments of Being: A Collection of Autobiographical Writing,Virginia Woolf/Jeanne Schulkind,4.26,1985,8,23
Mon Ami Maigret,Georges Simenon,3.62,2003,4,23
Mon épouse américaine,Ruth Ozeki/Florence Mortimer,3.96,2001,4,19
Monday Night Class,Stephen Gaskin,3.89,2005,7,31
Mondrian,John Milner/Piet Mondrian,3.73,1995,4,1
Money,Martin Amis,3.71,2005,4,7
Money in the Bank,P.G. Wodehouse,4.13,2005,4,7
Money to Burn,Ricardo Piglia/Amanda Hopkinson,3.76,2004,8,1
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,2004,3,17
Monkeewrench (Monkeewrench  #1),P.J. Tracy,4.12,2004,4,6
Monkey Business,Sarah Mlynowski,3.67,2004,9,24
Monkey Business,Sarah Mlynowski,3.67,2005,4,15
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,2005,5,15
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,4.17,2006,10,10
Monkeys,Susan Minot,3.67,2000,8,8
Monsieur Ibrahim et les fleurs du Coran,Éric-Emmanuel Schmitt,3.82,2001,6,13
Monsoon Summer,Mitali Perkins,3.82,2006,4,11
Monster,Walter Dean Myers,3.72,2019,3,5
Monster Island (Monster Island  #1),David Wellington,3.6,2006,3,24
Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,3.97,2004,6,29
Montaigne: Essays,Michel de Montaigne/J.M. Cohen,4.16,1993,7,1
Montaillou  village occitan de 1294 à 1324,Emmanuel Le Roy Ladurie/Emmanuel Le Roy-Ladurie,3.96,1982,6,31
Montaillou: Cathars and Catholics in a French Village  1294-1324,Emmanuel Le Roy Ladurie/Barbara Bray,3.96,1980,5,29
Montaillou: Cathars and Catholics in a French Village 1294-1324,Emmanuel Le Roy Ladurie/Barbara Bray,3.96,2002,12,5
Montaillou: The Promised Land of Error,Emmanuel Le Roy Ladurie/Barbara Bray,3.96,1979,7,12
Monte Cook Presents The Year's Best D20 (Volume One),Monte Cook,4.2,2005,8,15
Moo,Jane Smiley,3.46,1999,6,1
Moo  Baa  La La La!,Sandra Boynton,4.2,2004,9,6
Moods,Louisa May Alcott,3.4,1991,1,1
Moon Palace,Paul Auster,3.94,1990,4,1
Moon in a Dewdrop: Writings of Zen Master Dogen,Dōgen/Kazuaki Tanahashi/Robert Aitken/Reb Anderson/Edward G. Brown/Norman Fischer/Arnold Kotler/Daniel Leighton/Lew Richmond/Katherine Thanas/Brian Unger/Mel Weitsman/Dan Welch/Philip Whalen/David    Schneider,4.28,1995,10,31
Moon of the Spider (Diablo  #4),Richard A. Knaak,3.95,2006,1,1
Moon-Flash (Kyreol  #1-2),Patricia A. McKillip,3.74,2005,3,17
Moonage Daydream: The Life & Times of Ziggy Stardust,David Bowie/Mick Rock,4.3,2005,9,20
Moonraker,Ian Fleming,3.74,2004,6,3
Moonraker (James Bond  #3),Ian Fleming,3.74,2002,12,31
Moonraker's Bride,Madeleine Brent,4.31,1978,6,12
Moonraker's Bride,Madeleine Brent,4.31,1973,1,1
Moose Master (Adam Sharp #5),George E. Stanley/Guy Francis,4.12,2004,4,27
Moral Disorder and Other Stories,Margaret Atwood,3.63,2006,10,17
Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,4.09,1981,3,12
Moral Politics: How Liberals and Conservatives Think,George Lakoff,4.03,2002,5,1
Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),Alexander McCall Smith,3.98,2002,11,12
